time_seconds,cpu_util,gpu0_power,gpu0_util,gpu0_temp,total_power
3.0994415283203125e-06,15.5,43.1,0.0,75.0,43.1
0.36223864555358887,27.7,43.03,13.0,75.0,43.03
0.6596219539642334,5.6,43.03,14.0,75.0,43.03
0.9589765071868896,4.9,43.3,14.0,75.0,43.3
1.2535982131958008,6.6,43.64,13.0,75.0,43.64
1.55340576171875,5.3,43.68,13.0,75.0,43.68
1.8505470752716064,5.2,43.69,13.0,75.0,43.69
2.1553332805633545,5.1,43.69,13.0,75.0,43.69
2.453436851501465,4.9,43.66,13.0,75.0,43.66
2.7531485557556152,5.0,43.38,13.0,75.0,43.38
3.046253204345703,4.9,43.1,14.0,75.0,43.1
3.3467822074890137,5.0,42.8,13.0,75.0,42.8
3.6359286308288574,5.0,42.61,14.0,75.0,42.61
3.93548583984375,4.8,42.68,14.0,75.0,42.68
4.2349138259887695,5.5,42.99,14.0,75.0,42.99
4.536569356918335,4.8,43.3,14.0,75.0,43.3
4.834228038787842,4.9,43.57,14.0,75.0,43.57
5.134618043899536,5.2,43.69,14.0,75.0,43.69
5.423887014389038,5.2,43.69,14.0,75.0,43.69
5.727378845214844,5.8,43.65,13.0,75.0,43.65
6.022891283035278,4.9,43.65,13.0,75.0,43.65
6.327315092086792,5.4,43.65,13.0,75.0,43.65
6.623398065567017,5.1,43.65,13.0,75.0,43.65
6.926975965499878,5.1,43.65,13.0,75.0,43.65
7.2228405475616455,5.2,43.65,14.0,75.0,43.65
7.527605295181274,4.9,43.65,13.0,75.0,43.65
7.824089765548706,4.9,43.66,13.0,75.0,43.66
8.128745079040527,4.9,43.67,13.0,75.0,43.67
8.424895524978638,5.1,43.66,14.0,75.0,43.66
8.724190473556519,4.9,43.67,13.0,75.0,43.67
9.015291690826416,5.0,43.68,13.0,75.0,43.68
9.260484218597412,18.4,43.6,12.0,75.0,43.6
9.437291383743286,4.8,43.6,14.0,75.0,43.6
9.621463060379028,4.9,43.59,14.0,75.0,43.59
9.80418086051941,5.2,43.55,13.0,75.0,43.55
9.998857975006104,4.9,43.43,13.0,75.0,43.43
10.189845561981201,12.1,43.25,12.0,75.0,43.25
10.368809938430786,5.9,43.05,11.0,75.0,43.05
10.55658745765686,5.3,42.94,11.0,75.0,42.94
10.745036363601685,5.9,42.74,13.0,75.0,42.74
10.92711615562439,4.7,42.53,14.0,75.0,42.53
11.105248212814331,5.1,42.42,14.0,75.0,42.42
11.286815166473389,5.2,42.42,14.0,75.0,42.42
11.484372615814209,4.8,42.59,13.0,75.0,42.59
11.700647592544556,24.5,42.76,10.0,75.0,42.76
11.888222694396973,5.1,42.97,13.0,75.0,42.97
12.069883584976196,5.0,43.19,12.0,75.0,43.19
12.251153707504272,5.0,43.27,12.0,75.0,43.27
12.431387662887573,4.7,43.48,14.0,75.0,43.48
