time_seconds,energy_estimate,cpu_utilization,gpu_utilization
1.9721059799194336,0.4538600921630859,6.0,0.0
2.102041244506836,0.4541347503662109,3.1,0.0
2.2311973571777344,0.4541347503662109,1.9,0.0
2.359792709350586,0.4541347503662109,2.0,0.0
2.489039897918701,0.4541805267333984,1.9,0.0
2.6168949604034424,0.4541805267333984,2.0,0.0
2.745851516723633,0.4541805267333984,1.6,0.0
2.8732070922851562,0.4541805267333984,2.0,0.0
3.002204656600952,0.4541805267333984,1.9,0.0
3.130157709121704,0.4541805267333984,2.4,0.0
3.2573533058166504,0.4541805267333984,2.0,0.0
3.3861911296844482,0.4541805267333984,2.3,0.0
3.51346755027771,0.4541805267333984,2.0,0.0
3.6407976150512695,0.4541805267333984,2.8,0.0
3.7683606147766113,7.954180526733398,2.0,3.0
3.8952975273132324,7.954180526733398,2.4,3.0
4.0241899490356445,37.804226303100585,2.0,3.0
4.153494596481323,7.954226303100586,2.3,3.0
4.2801353931427,7.954226303100586,2.0,3.0
4.407153606414795,7.954226303100586,2.4,3.0
4.536165952682495,7.954226303100586,2.7,3.0
4.663639783859253,7.954226303100586,2.0,3.0
4.790778398513794,22.954226303100587,2.0,3.0
4.918289661407471,7.954226303100586,2.4,3.0
5.046018123626709,7.954226303100586,2.0,3.0
5.173568487167358,7.954226303100586,2.7,3.0
5.300795078277588,7.954226303100586,2.0,3.0
5.427620887756348,7.954226303100586,2.4,3.0
5.555019855499268,7.954226303100586,2.0,3.0
5.682405233383179,7.954226303100586,2.0,3.0
5.80991268157959,7.954226303100586,2.4,3.0
5.9372007846832275,7.954226303100586,2.0,3.0
6.064657688140869,7.954226303100586,2.4,3.0
6.19191312789917,7.954226303100586,2.0,3.0
6.319479942321777,7.954226303100586,2.4,3.0
6.4463090896606445,7.954226303100586,2.0,3.0
6.573583126068115,7.954226303100586,2.4,3.0
6.700926065444946,7.954226303100586,2.4,3.0
6.828104257583618,7.954226303100586,1.6,3.0
6.9573469161987305,7.954272079467773,2.3,3.0
7.084148168563843,7.954272079467773,5.6,3.0
7.208914518356323,7.954272079467773,1.6,3.0
7.335937023162842,7.954272079467773,2.4,3.0
7.462512731552124,7.954272079467773,1.6,3.0
7.589359521865845,7.954272079467773,2.0,3.0
7.716250658035278,7.954272079467773,2.8,3.0
7.8429765701293945,7.954272079467773,2.0,3.0
7.968093395233154,7.954272079467773,2.4,3.0
8.095174789428711,7.954272079467773,2.0,3.0
8.222396850585938,7.954272079467773,2.0,3.0
8.349974870681763,7.954272079467773,2.4,3.0
8.478621244430542,7.954317855834961,2.0,3.0
8.605660676956177,7.954317855834961,2.0,3.0
8.732449531555176,2.9543178558349608,2.0,1.0
8.859156608581543,2.9543178558349608,2.0,1.0
8.986201763153076,2.9543178558349608,2.0,1.0
9.113084554672241,2.9543178558349608,2.0,1.0
9.24026608467102,2.9543178558349608,2.0,1.0
9.366877555847168,2.9543178558349608,2.4,1.0
9.494237899780273,2.9543178558349608,1.6,1.0
9.625411987304688,2.9543178558349608,3.0,1.0
9.753881216049194,2.9543178558349608,1.6,1.0
9.884437799453735,32.80431785583496,2.3,1.0
10.016829252243042,2.9543178558349608,2.7,1.0
10.149986505508423,2.9543178558349608,2.2,1.0
10.284067630767822,2.9543178558349608,2.6,1.0
