time_seconds,cpu_util,gpu0_power,gpu0_util,gpu0_temp,total_power
5.7220458984375e-06,20.5,33.37,0.0,65.0,33.37
0.17097830772399902,46.9,33.44,7.0,65.0,33.44
0.31775999069213867,5.5,33.5,5.0,66.0,33.5
0.4775216579437256,10.7,33.93,7.0,66.0,33.93
0.6356415748596191,7.9,33.97,4.0,65.0,33.97
0.774946928024292,5.8,34.34,8.0,66.0,34.34
0.9182229042053223,5.9,34.5,5.0,66.0,34.5
1.06081223487854,6.3,34.84,7.0,65.0,34.84
1.2298133373260498,10.5,34.92,5.0,66.0,34.92
1.3796360492706299,8.4,34.95,8.0,66.0,34.95
1.5660974979400635,29.2,34.89,6.0,65.0,34.89
1.7177972793579102,6.3,34.94,6.0,65.0,34.94
1.8598461151123047,5.7,34.92,4.0,66.0,34.92
1.9982764720916748,6.5,34.95,7.0,66.0,34.95
2.134575605392456,5.5,34.96,5.0,66.0,34.96
2.2707667350769043,5.5,34.97,8.0,66.0,34.97
2.406843423843384,5.9,35.01,6.0,66.0,35.01
2.5449557304382324,5.8,34.94,5.0,65.0,34.94
2.6823089122772217,5.8,35.03,8.0,66.0,35.03
2.8279714584350586,5.9,35.0,4.0,66.0,35.0
2.9790217876434326,7.0,35.04,7.0,65.0,35.04
3.1189279556274414,5.8,35.0,5.0,66.0,35.0
3.263627529144287,5.6,35.03,7.0,65.0,35.03
3.409245729446411,5.8,35.01,6.0,65.0,35.01
3.549227714538574,5.4,34.99,5.0,66.0,34.99
3.689225673675537,6.1,35.06,8.0,66.0,35.06
3.8261706829071045,5.2,34.99,4.0,66.0,34.99
3.973968029022217,6.1,35.03,7.0,66.0,35.03
4.1261796951293945,5.3,34.94,5.0,66.0,34.94
4.2660582065582275,5.8,34.92,7.0,66.0,34.92
4.409224033355713,5.9,34.86,6.0,66.0,34.86
4.54802393913269,5.4,34.79,5.0,65.0,34.79
4.685535907745361,5.5,34.77,8.0,66.0,34.77
4.822127819061279,5.2,34.68,4.0,66.0,34.68
4.9612877368927,5.8,34.66,6.0,66.0,34.66
5.096517324447632,5.9,34.62,7.0,66.0,34.62
5.258544445037842,8.4,34.63,4.0,66.0,34.63
5.425745487213135,13.0,34.6,4.0,66.0,34.6
5.5629658699035645,5.8,34.71,7.0,66.0,34.71
5.698274850845337,5.6,34.75,7.0,66.0,34.75
5.834925174713135,5.5,34.73,5.0,66.0,34.73
5.982236623764038,5.8,34.88,8.0,66.0,34.88
6.131764650344849,6.1,34.86,4.0,66.0,34.86
6.281500577926636,6.4,34.99,8.0,66.0,34.99
6.420076847076416,5.8,35.01,5.0,66.0,35.01
6.56907844543457,5.7,35.09,7.0,66.0,35.09
6.709973573684692,6.8,35.06,6.0,66.0,35.06
6.852861404418945,5.6,35.03,5.0,66.0,35.03
6.9928717613220215,5.7,35.1,7.0,66.0,35.1
7.131798267364502,6.5,35.03,4.0,66.0,35.03
7.269673585891724,5.5,35.1,8.0,66.0,35.1
7.430604934692383,11.9,35.05,6.0,66.0,35.05
7.596384286880493,9.5,35.07,7.0,66.0,35.07
7.739182949066162,5.6,35.01,4.0,66.0,35.01
7.882599353790283,6.3,35.06,8.0,66.0,35.06
8.025586366653442,5.7,35.01,4.0,66.0,35.01
8.163919925689697,6.2,35.03,7.0,66.0,35.03
8.308683633804321,5.2,35.05,6.0,66.0,35.05
8.456005573272705,5.8,35.0,5.0,66.0,35.0
8.595481395721436,5.8,35.07,7.0,66.0,35.07
8.73297929763794,5.8,35.02,5.0,66.0,35.02
8.869750022888184,5.8,35.08,8.0,66.0,35.08
9.02182388305664,5.6,35.02,5.0,66.0,35.02
9.166467666625977,5.9,35.06,7.0,66.0,35.06
9.306069374084473,5.4,35.03,6.0,66.0,35.03
9.445814609527588,5.8,35.0,5.0,66.0,35.0
9.624006986618042,11.9,35.02,5.0,66.0,35.02
9.767715454101562,7.7,35.01,7.0,66.0,35.01
9.911789178848267,6.3,35.03,6.0,66.0,35.03
10.05506706237793,5.6,35.01,5.0,66.0,35.01
10.194406032562256,5.5,35.06,7.0,66.0,35.06
10.33176875114441,5.8,35.01,5.0,66.0,35.01
10.474393129348755,5.3,35.06,8.0,66.0,35.06
10.615701913833618,6.4,35.04,5.0,66.0,35.04
10.755188465118408,5.7,35.08,5.0,66.0,35.08
10.892122030258179,5.2,35.07,7.0,66.0,35.07
11.030967235565186,5.8,35.03,4.0,66.0,35.03
11.167583703994751,5.9,35.06,8.0,66.0,35.06
11.302848100662231,5.6,35.04,6.0,66.0,35.04
11.437282085418701,5.6,35.05,5.0,66.0,35.05
11.579306364059448,5.7,35.0,8.0,66.0,35.0
11.715977668762207,5.5,34.97,5.0,66.0,34.97
11.852019309997559,5.9,34.93,5.0,66.0,34.93
11.989164113998413,5.5,34.86,8.0,66.0,34.86
12.1282479763031,5.8,34.83,4.0,66.0,34.83
12.26358699798584,5.6,34.74,7.0,66.0,34.74
12.400880575180054,5.5,34.71,6.0,66.0,34.71
12.536221742630005,5.6,34.68,5.0,66.0,34.68
12.675807476043701,5.8,34.65,8.0,66.0,34.65
12.810437202453613,5.6,34.66,5.0,66.0,34.66
